[('GO:0009987', 44071), ('GO:0044699', 39925), ('GO:0008152', 33829), ('GO:0044763', 33422), ('GO:0071704', 28612), ('GO:0044237', 27815), ('GO:0044238', 26017), ('GO:0065007', 25363), ('GO:0050789', 23630), ('GO:0050794', 21280)]
44071
29265
Fscore: 0.0029956485716158246, Precision: 0.0015000727061218464, Recall: 0.9992995152118543 Smin: 43169.38387643241, threshold: 0.0
Fscore: 0.054091372427663015, Precision: 0.027904033481367208, Recall: 0.8792289113985138 Smin: 1026.5592330056368, threshold: 0.01
Fscore: 0.08436100757744876, Precision: 0.0444118766535209, Recall: 0.839534871559454 Smin: 530.2358166217962, threshold: 0.02
Fscore: 0.10916147693120336, Precision: 0.058560082782467986, Recall: 0.8032108579613658 Smin: 360.18776797364035, threshold: 0.03
Fscore: 0.12818848711733855, Precision: 0.06999482925541144, Recall: 0.7603085294771286 Smin: 258.8386902019225, threshold: 0.04
Fscore: 0.14587945130682248, Precision: 0.08090704191838481, Recall: 0.740693257891603 Smin: 205.42901798811417, threshold: 0.05
Fscore: 0.16399594175165486, Precision: 0.09253920300372158, Recall: 0.7198424985530912 Smin: 170.77951626229756, threshold: 0.06
Fscore: 0.18297224901343936, Precision: 0.10533482184562926, Recall: 0.6958542302160783 Smin: 132.0680349290061, threshold: 0.07
Fscore: 0.19775805352710782, Precision: 0.11584823342766316, Recall: 0.6750439664237323 Smin: 111.8394254520005, threshold: 0.08
Fscore: 0.2104777300431045, Precision: 0.12521201624462633, Recall: 0.6597441900615882 Smin: 98.61119826037755, threshold: 0.09
Fscore: 0.22745924185436392, Precision: 0.1381723230440227, Recall: 0.6429029755919612 Smin: 77.71681251650229, threshold: 0.1
Fscore: 0.23337193662412972, Precision: 0.1429477568907895, Recall: 0.6351432378963071 Smin: 75.36907084166187, threshold: 0.11
Fscore: 0.24321955912904045, Precision: 0.15113853030350857, Recall: 0.6224416168628246 Smin: 64.03663685649654, threshold: 0.12
Fscore: 0.24805757961193495, Precision: 0.15552249327824985, Recall: 0.6124800992644303 Smin: 58.66321176181109, threshold: 0.13
Fscore: 0.25256212991321586, Precision: 0.15945583919185843, Recall: 0.6069748370827297 Smin: 55.3118003558612, threshold: 0.14
Fscore: 0.26186639437131815, Precision: 0.16816703827573323, Recall: 0.5913611740840404 Smin: 48.95954986640159, threshold: 0.15
Fscore: 0.2744129596753647, Precision: 0.1798381436062602, Recall: 0.5787941741777746 Smin: 43.00606596726351, threshold: 0.16
Fscore: 0.2847799771144545, Precision: 0.190749988546296, Recall: 0.5616395511277451 Smin: 40.112044539839566, threshold: 0.17
Fscore: 0.29033248927122735, Precision: 0.19685182492365436, Recall: 0.5528861244196253 Smin: 38.21301263799666, threshold: 0.18
Fscore: 0.2928287479747103, Precision: 0.19958942744471467, Recall: 0.5495577187758908 Smin: 37.90130336840546, threshold: 0.19
Fscore: 0.2974686963767618, Precision: 0.20453595317725753, Recall: 0.5451728795788713 Smin: 36.8090126623656, threshold: 0.2
Fscore: 0.29724663686768327, Precision: 0.20744695432864182, Recall: 0.5241337819793239 Smin: 36.60975928726123, threshold: 0.21
Fscore: 0.30428559162324703, Precision: 0.2180602006688939, Recall: 0.5033008908170022 Smin: 33.83025033567291, threshold: 0.22
Fscore: 0.3116581245391379, Precision: 0.22929765886288225, Recall: 0.4863471036339695 Smin: 32.83263797400652, threshold: 0.23
Fscore: 0.31014450336906346, Precision: 0.23934896625113664, Recall: 0.44041089316071086 Smin: 30.68228804533362, threshold: 0.24
Fscore: 0.311948897904055, Precision: 0.2421346348292745, Recall: 0.4383325761797119 Smin: 30.408788427536432, threshold: 0.25
Fscore: 0.31519049043140407, Precision: 0.2587792642140428, Recall: 0.4030516083890656 Smin: 28.55305661523569, threshold: 0.26
Fscore: 0.32260106759743623, Precision: 0.27209384818080395, Recall: 0.3961329544087314 Smin: 27.872106067408428, threshold: 0.27
Fscore: 0.32260106759743623, Precision: 0.27209384818080395, Recall: 0.3961329544087314 Smin: 27.872106067408428, threshold: 0.28
Fscore: 0.32260106759743623, Precision: 0.27209384818080395, Recall: 0.3961329544087314 Smin: 27.872106067408428, threshold: 0.29
Fscore: 0.32659916045463044, Precision: 0.2854375696766988, Recall: 0.3816325741028087 Smin: 27.083070657909058, threshold: 0.3
Fscore: 0.32826904360814446, Precision: 0.28974455080151607, Recall: 0.378608966741902 Smin: 26.828639286622664, threshold: 0.31
Fscore: 0.33651455420675175, Precision: 0.3093002315410283, Recall: 0.36897989675579373 Smin: 26.487998685978106, threshold: 0.32
Fscore: 0.3331870855060479, Precision: 0.32426930347535915, Recall: 0.34260923698440926 Smin: 25.66759477790572, threshold: 0.33
Fscore: 0.33774649620387215, Precision: 0.33978340500080334, Recall: 0.33573386330442007 Smin: 25.51094373016556, threshold: 0.34
Fscore: 0.3446277470633074, Precision: 0.3615780672416774, Recall: 0.3291954813490029 Smin: 25.160921693120233, threshold: 0.35
Fscore: 0.35108882101833105, Precision: 0.39731396321070234, Recall: 0.31449874254266685 Smin: 25.06101586361812, threshold: 0.36
Fscore: 0.35444798540158323, Precision: 0.4309902054467264, Recall: 0.3009928082927065 Smin: 25.02753253164608, threshold: 0.37
Fscore: 0.35444798540158323, Precision: 0.4309902054467264, Recall: 0.3009928082927065 Smin: 25.02753253164608, threshold: 0.38
Fscore: 0.35691911074980714, Precision: 0.4490609724723469, Recall: 0.29615226092766095 Smin: 25.10546834609022, threshold: 0.39
