[('GO:0005488', 20407), ('GO:0003824', 18401), ('GO:0005515', 11756), ('GO:0097159', 8676), ('GO:1901363', 8549), ('GO:0016740', 7202), ('GO:0016787', 6995), ('GO:0003676', 6604), ('GO:0003677', 4689), ('GO:0043167', 4364)]
20407
10693
Fscore: 0.0029538774134945647, Precision: 0.0014791357479314456, Recall: 0.9943340408912846 Smin: 24396.999253282964, threshold: 0.0
Fscore: 0.053542702560859565, Precision: 0.027694297561532258, Recall: 0.8033119409711452 Smin: 373.1995084893471, threshold: 0.01
Fscore: 0.0789306957623192, Precision: 0.041743372606774645, Recall: 0.7231777175791824 Smin: 193.22947558897823, threshold: 0.02
Fscore: 0.09586239826160688, Precision: 0.05158290631580233, Recall: 0.6770615575435446 Smin: 138.17120476304652, threshold: 0.03
Fscore: 0.11588502422970351, Precision: 0.06367681758436704, Recall: 0.6434248740204058 Smin: 94.16573772741178, threshold: 0.04
Fscore: 0.12706149517093296, Precision: 0.07091590387949487, Recall: 0.6100534924096853 Smin: 73.20676484165959, threshold: 0.05
Fscore: 0.14027947692869328, Precision: 0.07961664431890626, Recall: 0.5892525150759226 Smin: 64.72746534360421, threshold: 0.06
Fscore: 0.1516312000695435, Precision: 0.08745111980092421, Recall: 0.5698206229434466 Smin: 60.56407095079015, threshold: 0.07
Fscore: 0.15657466130220032, Precision: 0.09170726181035486, Recall: 0.5349890877423085 Smin: 52.80503851239309, threshold: 0.08
Fscore: 0.1655720230592863, Precision: 0.09854645578536216, Recall: 0.517642008847058 Smin: 40.30602623826252, threshold: 0.09
Fscore: 0.1736896940808845, Precision: 0.1053917166564888, Recall: 0.4934917698695398 Smin: 34.17563894042998, threshold: 0.1
Fscore: 0.18327377530425273, Precision: 0.11411739953713516, Recall: 0.4651746087468229 Smin: 30.05989388556587, threshold: 0.11
Fscore: 0.19711656632959898, Precision: 0.1273170483977456, Recall: 0.43632435558520793 Smin: 22.72122961217901, threshold: 0.12
Fscore: 0.20785072948343747, Precision: 0.13837997054491824, Recall: 0.41739525316216103 Smin: 22.23875272893104, threshold: 0.13
Fscore: 0.22523822931017037, Precision: 0.15810014727540483, Recall: 0.3914840448244321 Smin: 18.240003580896776, threshold: 0.14
Fscore: 0.26147682702856845, Precision: 0.20429202608878622, Recall: 0.3631203750517826 Smin: 15.476559270779592, threshold: 0.15
Fscore: 0.27551065890964227, Precision: 0.2270495827196856, Recall: 0.3502721499596989 Smin: 14.952355241084753, threshold: 0.16
Fscore: 0.28054436808293354, Precision: 0.23912170303923005, Recall: 0.3393251062535449 Smin: 13.970989263548214, threshold: 0.17
Fscore: 0.28054436808293354, Precision: 0.23912170303923005, Recall: 0.3393251062535449 Smin: 13.970989263548214, threshold: 0.18
Fscore: 0.28676188085052473, Precision: 0.25375552282768765, Recall: 0.3296384431017201 Smin: 13.507291683381075, threshold: 0.19
Fscore: 0.28676188085052473, Precision: 0.25375552282768765, Recall: 0.3296384431017201 Smin: 13.507291683381075, threshold: 0.2
Fscore: 0.28676188085052473, Precision: 0.25375552282768765, Recall: 0.3296384431017201 Smin: 13.507291683381075, threshold: 0.21
Fscore: 0.2950594155131063, Precision: 0.2719685812469341, Recall: 0.322434976988329 Smin: 12.548337134819946, threshold: 0.22
Fscore: 0.30399811134527105, Precision: 0.29473490427098675, Recall: 0.31386247787699856 Smin: 12.370258430974584, threshold: 0.23
Fscore: 0.30399811134527105, Precision: 0.29473490427098675, Recall: 0.31386247787699856 Smin: 12.370258430974584, threshold: 0.24
Fscore: 0.30399811134527105, Precision: 0.29473490427098675, Recall: 0.31386247787699856 Smin: 12.370258430974584, threshold: 0.25
Fscore: 0.30399811134527105, Precision: 0.29473490427098675, Recall: 0.31386247787699856 Smin: 12.370258430974584, threshold: 0.26
Fscore: 0.30399811134527105, Precision: 0.29473490427098675, Recall: 0.31386247787699856 Smin: 12.370258430974584, threshold: 0.27
Fscore: 0.30399811134527105, Precision: 0.29473490427098675, Recall: 0.31386247787699856 Smin: 12.370258430974584, threshold: 0.28
Fscore: 0.30399811134527105, Precision: 0.29473490427098675, Recall: 0.31386247787699856 Smin: 12.370258430974584, threshold: 0.29
Fscore: 0.30399811134527105, Precision: 0.29473490427098675, Recall: 0.31386247787699856 Smin: 12.370258430974584, threshold: 0.3
Fscore: 0.30399811134527105, Precision: 0.29473490427098675, Recall: 0.31386247787699856 Smin: 12.370258430974584, threshold: 0.31
Fscore: 0.30399811134527105, Precision: 0.29473490427098675, Recall: 0.31386247787699856 Smin: 12.370258430974584, threshold: 0.32
Fscore: 0.30584405437236883, Precision: 0.31516936671575785, Recall: 0.2970547227763616 Smin: 12.27745539845088, threshold: 0.33
Fscore: 0.30584405437236883, Precision: 0.31516936671575785, Recall: 0.2970547227763616 Smin: 12.27745539845088, threshold: 0.34
Fscore: 0.29469609560370436, Precision: 0.3257241040746198, Recall: 0.2690653210989834 Smin: 12.179734263092481, threshold: 0.35
Fscore: 0.2852453395112767, Precision: 0.3484536082474217, Recall: 0.24144758926130294 Smin: 12.112355091920104, threshold: 0.36
Fscore: 0.2852453395112767, Precision: 0.3484536082474217, Recall: 0.24144758926130294 Smin: 12.112355091920104, threshold: 0.37
Fscore: 0.2852453395112767, Precision: 0.3484536082474217, Recall: 0.24144758926130294 Smin: 12.112355091920104, threshold: 0.38
Fscore: 0.2852453395112767, Precision: 0.3484536082474217, Recall: 0.24144758926130294 Smin: 12.112355091920104, threshold: 0.39
